nr,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani,platnost_fin,platnost_T,referendum_validity,referendum_binding,voting_valid,binding_minimum_count,rok_fin,rok_T,obec_fin,okres_fin,kraj_fin,geo_city,lok_T
118.0,"Drásov                      (Brno-venkov, JHM)",Souhlasíte s vybudováním okružní křižovatky (kruhový objezd) v centru městyse Drásov?,2011-04-29 00:00:00,1114,0.39,ANO,"124    (28,63 %)","313     (71,5 %)",ANO       (279),,ANO,True,True,True,True,279,2011,True,Drásov,Brno-venkov,Jihomoravský kraj,"Drásov, Brno-venkov, Jihomoravský kraj, Česká republika",True
119.0,"Bohuňovice (Olomouc, OLK)", Chcete vyjmout druhou dráhu letiště z územního plánu obce?,2011-05-13 00:00:00,2086,0.404,ANO,724        (86 %),"112     (13,3 %)",ANO        (521),,ANO,True,True,True,True,521,2011,True,Bohuňovice,Olomouc,Olomoucký kraj,"Bohuňovice, Olomouc, Olomoucký kraj, Česká republika",True
120.0,"Pozořice                     (Brno-venkov, JHM)",Souhlasíte s výstavbou a provozováním bioplynové stanice v katastrálním území Pozořice?,2011-05-20 00:00:00,1734,0.621,ANO,"13          (1,2 %)","1 061  (98,5 %)",ANO       (434),,ANO,True,True,True,True,434,2011,True,Pozořice,Brno-venkov,Jihomoravský kraj,"Pozořice, Brno-venkov, Jihomoravský kraj, Česká republika",True
121.0,"Dolní Bojanovice (Hodonín, JHM)","Souhlasím, aby Obec Dolní Bojanovice koupila areál bývalého zemědělského družstva.",2011-10-14 00:00:00,2365,0.168,NE,195        (49 %),"193     (48,5 %)",NE,,NE,True,False,False,True,0,2011,True,Dolní Bojanovice,Hodonín,Jihomoravský kraj,"Dolní Bojanovice, Hodonín, Jihomoravský kraj, Česká republika",True
122.0,"Maršov               (Brno-venkov, JHM)","1) Souhlasíte s umístěním, výstavbou a provozováním Bioplynové stanice v obci Maršov, k.ú. Maršov u Veverské Bítýšky?                                                                                                       2) Má se obec Maršov zasadit veškerými zákonnými prostředky o zabránění výstavbě a provozování Bioplynové stanice v Obci Maršov, katastrálním území Maršov u Veverské Bítýšky?",2011-10-15 00:00:00,397,0.725,ANO,"Ad 1) 7         Ad 2) 275 (2,4 %; 95,5 %)","Ad 1) 274    Ad 2) 7 (95,1 %; 2,4 %)   ",Ad 1) ANO Ad 2) ANO (100),,ANO,True,True,False,True,100,2011,True,Maršov,Brno-venkov,Jihomoravský kraj,"Maršov, Brno-venkov, Jihomoravský kraj, Česká republika",True
123.0,"Úhonice                       (Praha-západ, STČ)","1) Souhlasíte se zastavěním lokality ""Pod Kostelem"" na p.č. 115/3 v k.ú. Úhonice?                                                                            2) Souhlasíte s rozšířením zastavitelných území v onci Úhonice",2011-11-12 00:00:00,803,0.435,ANO,"Ad 1) 39         Ad 2) 46 (11,2 %; 13,2%)","Ad 1) 306    Ad 2) 298 (87,7 %; 85,4%)   ",Ad 1) ANO Ad 2) ANO (201),,ANO,True,True,False,True,201,2011,True,Úhonice,Praha-západ,Střední čechy,"Úhonice, Praha-západ, Střední čechy, Česká republika",True
124.0,"Libkova Voda (Pelhřimov, VYS)",Souhlasíte se stavbou bioplynové stanice v obci a katastrálním území Libkova Voda?,2011-11-12 00:00:00,187,0.872,ANO,52           (32 %),"111     (68,1 %)",ANO         (47),,ANO,True,True,True,True,47,2011,True,Libkova Voda,Pelhřimov,Kraj Vysočina,"Libkova Voda, Pelhřimov, Kraj Vysočina, Česká republika",True
125.0,"Újezd u Černé Hory         (Blansko, JHM) ","1) Souhlasíte s tím, aby zastupitelstvo obce Újezd u Černé Hory realizovalo výstavbu nového obecního úřadu?                                                                                             2) Požadujete, aby zastupitelstvo obce Újezd u Černé Hory namísto plánovaného obecního úřadu vybudovalo mateřskou školku s pozdější možnou transformací na obecní úřad a ihned provedlo všechny nezbytné kroky k jejímu zprovoznění ve školním roce 2012/2013?",2011-11-26 00:00:00,207,0.705,ANO,"Ad 1) 64         Ad 2) 70 (43,8 %; 47,9%)","Ad 1) 77           Ad 2) 51 (54,7 %; 34,9%)   ",Ad 1) NE    Ad 2) ANO (52),,ANO,True,True,False,True,52,2011,True,Újezd u Černé Hory,Blansko,Jihomoravský kraj,"Újezd u Černé Hory, Blansko, Jihomoravský kraj, Česká republika",True
126.0,"Jablonec nad Nisou      (Jablonec nad Nisou, LBK) ",Chcete oddělení místní části Kokonín od Jablonce nad Nisou a vznik samostatné obce Kokonín?,2012-02-19 00:00:00,1491,0.241,NE,32              (8%)     ,"354     (88,9 %)",NE3           (746),,NE,True,False,False,True,746,2012,True,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,"Jablonec nad Nisou, Jablonec nad Nisou, Liberecký kraj, Česká republika",True
127.0,"Píšť                            (Opava, MSK)","Chcete, aby v obci Píšť byla vybudována tlaková kanalizace?",2012-03-03 00:00:00,1767,0.631,ANO,"537     (48,3 %)",557              (50 %),ANO (442),,ANO,True,True,True,True,442,2012,True,Píšť,Opava,Moravskoslezský kraj,"Píšť, Opava, Moravskoslezský kraj, Česká republika",True
128.0,"Břežany II         (Kolín, SČ)",1. Jste pro vybudování výsypek JZ a JV u lesíku Bělka? 2. Jste pro povolení těžby u lesíku Bělka?,2012-03-10 00:00:00,497,0.406,ANO,"Ad 1) 71    (35,1 %) Ad 2) 67 (33,2 %)","Ad 1) 129 (63,9 %) Ad 2) 134 (66,3 %)",Ad 1 a 2) ANO (125),,ANO,True,True,False,True,125,2012,True,Břežany II,Kolín,Střední čechy,"Břežany II, Kolín, Střední čechy, Česká republika",True
129.0,"Valaššské Meziříčí        (Vsetín, ZLK)",1. Souhlasíte s oddělením místní části Poličná od měst Valašské Meziříčí a vznikem samostatné obce Poličná? 2. Souhlasíte s oddělením místní části Krhová od měst Valašské Meziříčí a vznikem samostatné obce Krhová?,2012-04-21 00:00:00,Ad 1)     1419 (část Poličná)     Ad 2)     1617 (část Krhová),"1. 71,5%   2.        70% ",1. ANO       2. ANO,"Ad 1) 798 (78,6 %) Ad 2) 992 (87,7 %)","Ad 1) 210 (20,7 %) Ad 2) 129 (11,4)",Ad 1) ANO3 (710)           Ad 2) ANO3 (809),,1. ANO       2. ANO,True,False,False,True,710,2012,True,Valaššské Meziříčí,Vsetín,Zlínský kraj,"Valaššské Meziříčí, Vsetín, Zlínský kraj, Česká republika",True
130.0,"Police            (Vsetín, ZLK)",Souhlasíte s vybudováním zařízení pro nakládání s odpady nebo jakkoliv jinak nazvaného zařízení podobného chrakteru v katastru obce Police?,2012-05-05 00:00:00,461,0.813,ANO,"141          (37,6 %)","226 (60,3%)",ANO       (116),,ANO,True,True,True,True,116,2012,True,Police,Vsetín,Zlínský kraj,"Police, Vsetín, Zlínský kraj, Česká republika",True
131.0,"Výprachtice          (Ústí nad Orlicí, PAK)","Souhlasíte s výstavbou větrných elektráren na k.ú. Výprachtic, Koburku a Valteřic?",2012-05-19 00:00:00,751,0.543,ANO,"144     (35,3 %)","258          (63,2 %)",ANO       (188),,ANO,True,True,True,True,188,2012,True,Výprachtice,Ústí nad Orlicí,Pardubický kraj,"Výprachtice, Ústí nad Orlicí, Pardubický kraj, Česká republika",True
132.0,"Moravany         (Brno-venkov, JHM)","Souhlasíte s tím, aby zastupitelstvo obce Moravany v rámci procesu územního plánování prosazovalo všemi právními prostředky rozvoj území podle ""Varianty A"" popsané v ""Územní studii možností dlouhodobého rozvoje obce Moravany u Brna"" ze září 2011, jejímž zhotovitelem je ""Ateliér ERA, sdružení architektů Fixel & Pech?",2012-05-25 00:00:00,1617,0.492,ANO,"714    (89,8 %)","71         (8,9 %)",ANO       (405),,ANO,True,True,True,True,405,2012,True,Moravany,Brno-venkov,Jihomoravský kraj,"Moravany, Brno-venkov, Jihomoravský kraj, Česká republika",True
133.0,"Butoves             (Jičín, HKK)","1. Souhlasíte s výstavbou spaškové kanalizace a ČOV v obci Butoves? 2. Souhlasíte s tím, aby zastupitelstvo obce Butoves bezodkladně podniklo veškeré kroky k zastavení výstavby spkaškové kanalizace a ČOV v obci Butoves?",2012-05-26 00:00:00,179,0.676,ANO,"Ad 1) 85 (70,2 %) Ad 2) 38 (31,4 %)","Ad 1) 36 (29,8 %) Ad 2)  82 (67,8 %)",ANO         (45),,ANO,True,True,True,True,45,2012,True,Butoves,Jičín,Královéhradecký kraj,"Butoves, Jičín, Královéhradecký kraj, Česká republika",True
134.0,"Dýšina                     (Plzeň-město, PLK)","1. Souhlasíte s vydáním změny územního plánu obce Dýšina č. 2, jejíž součástí je doplnění regulativu ""území byldení-rodinné domy"", kterým bude omezena výstavba objektů pro bydlení a rekreaci, zařízení maloobcjodu a veřejného stravování v zóně havarijního plánování plnírny propan butanu společnosti Flaga s.r.o.? 2. Souhlasíte s tím, aby obec Dýšina při výkonu  své samostatné působnosti využila všech zákonných prostředků, aby omezilanebo zabránila činnosti plnírny propan butanu splečnosti Flaga s.r.o.?",2012-06-01 00:00:00,1324,0.495,ANO,"Ad 1) 49 (7,5 %)  Ad 2) 625 (95,4 %)","Ad 1) 588 (89,8 %) Ad 2) 20 (3,1 %)",ANO       (331),,ANO,True,True,True,True,331,2012,True,Dýšina,Plzeň-město,Plzeňský kraj,"Dýšina, Plzeň-město, Plzeňský kraj, Česká republika",True
135.0,"Suché Lazce                   (mč Opava, MSK)",Souhlasíte s vybudováním Jižního obchvatu městské části Opava - Komárov?,2012-06-23 00:00:00,844,0.482,ANO,"10         (2,5 %)","387           (95,1 %)",ANO       (211),,ANO,True,True,True,True,211,2012,True,Suché Lazce,mč Opava,Moravskoslezský kraj,"Suché Lazce, mč Opava, Moravskoslezský kraj, Česká republika",True
136.0,"Lubenec                  (Louny, ULK)","Má zastupitelstvo a starosta obce Lubenec při výkonu samostatné působnosti využít všech zákonných prostředků, aby zabránili provedení geologického průzkumu předcházejícího vybudování hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů na území obce Lubenec?",2012-06-29 00:00:00,1212,0.534,ANO,517        (80 %),"111        (17,2 %)",ANO       (303),,ANO,True,True,True,True,303,2012,True,Lubenec,Louny,Ústecký kraj,"Lubenec, Louny, Ústecký kraj, Česká republika",True
137.0,"Větřkovice              (Opava, MSK)",Souhlasíte s výstavbou bioplynové stanice v areálu ZOD Slezsá Dubina Větřkovice?,2012-06-30 00:00:00,624,0.495,ANO,"227          (73,5 %) ","78       (25,2 %)",ANO       (156),,ANO,True,True,True,True,156,2012,True,Větřkovice,Opava,Moravskoslezský kraj,"Větřkovice, Opava, Moravskoslezský kraj, Česká republika",True
138.0,"Chvalovice              (Znojmo, JHM)","Souhlasíte s tím, aby zastupitelstvo Obce Chvalovice  neprodlěně zakázalo a nepovolovalo v katastru obce výstavbu větrných elektráren a současně zrušilo, nebo vypovědělo doposud všechny uzavřené smlouvy s firmou Viventy česká s.r.o. , IČ: 26918013, se sídlem V Brně, Olomoucká 3419/7?                  Zrušeno KS v Brně (Ars 4/2012-47)",2012-06-30 00:00:00,393,0.448,ANO,"107           (60,8 %)","63       (35,8 %)",ANO         (99)  Zrušeno KS  v Brně ,,ANO,True,True,False,True,99,2012,True,Chvalovice,Znojmo,Jihomoravský kraj,"Chvalovice, Znojmo, Jihomoravský kraj, Česká republika",True
139.0,"Toužim                 (Karlovy Vary, KVK)",Souhlasíte s výstavbou Sociálního centra v Toužimi?,2012-09-07 00:00:00,3091,0.392,ANO,"89         (7,3 %)","1 113 (91,8 %)",ANO       (773),,ANO,True,True,True,True,773,2012,True,Toužim,Karlovy Vary,Karlovarský kraj,"Toužim, Karlovy Vary, Karlovarský kraj, Česká republika",True
140.0,"Kolinec                (Klatovy, PLK)","Souhlasíte s tím, aby zastupitelstvo městyse Kolinec jako účastník všech řízení týkajících se stavby a umístění bioplynové stanice dalo souhlasé stanovisko ve věci výstavby a provozování bioplynové stanice v katastrálním území Kolinec, v objektu ZOD Klinec?",2012-09-08 00:00:00,663,0.496,ANO,"40       (12,2 %)","286     (86,9 %)",ANO       (166),,ANO,True,True,True,True,166,2012,True,Kolinec,Klatovy,Plzeňský kraj,"Kolinec, Klatovy, Plzeňský kraj, Česká republika",True
141.0,"Uherské Hradiště (Uherské Hradiště, ZLK)","Má dojít k oddělení části obce (města) Uherské Hradiště nazvané Jarošov, jenž je vymezena  katastrálním územím Jarošov u Uherského Hradiště, od obce (města) Uherské Hradiště?",2012-09-22 00:00:00,1907,0.565,ANO,"445     (41,3 %)","611          (56,7 %)",NE3         (956),,ANO,True,True,False,True,956,2012,True,Uherské Hradiště,Uherské Hradiště,Zlínský kraj,"Uherské Hradiště, Uherské Hradiště, Zlínský kraj, Česká republika",True
142.0,"Otovice                (Náchod, KHK)", Souhlasíte se stavbou bioplynové stanice na stavební parcele č. 92 a 93 v katastrálním území Otovice u Broumova?,12. - 13. 10. 2012,307,0.456,ANO,"53       (37,9 %)","85       (60,7 %)",ANO         (77),,ANO,True,True,True,True,77,2012,True,Otovice,Náchod,Královéhradecký kraj,"Otovice, Náchod, Královéhradecký kraj, Česká republika",True
143.0,"Dívčice                   (České Budějovice, JHČ)",Souhlasíte s vyškrtnutím silničního obchvatu a průmyslové zóny ze schváleného územního plánu Dívčice?,12. - 13. 10. 2012,451,0.639,ANO,"124     (43,1 %)","163     (56,6 %)",ANO       (113),,ANO,True,True,True,True,113,2012,True,Dívčice,České Budějovice,Jihočeský kraj,"Dívčice, České Budějovice, Jihočeský kraj, Česká republika",True
144.0,"Jíloviště                 (Praha-západ, STČ)","Požadujete, aby orgány obce Jíloviště učinily v samostatné působnsti veškeré možné kroky k tomu, aby bylo zabráněno jakékoiv výstavbě na všech dosud netsavebních pozemcích v lokalitě Na Močidlech (a to zejména na východ, jihovýchod a jih od ulice Na Močidlech na pozemcích KN p.č. 307/21, p.č. 327,  p.č. 332/1,  p.č. 342, p.č. 352/1,  p.č. 352/3,  p.č. 357/5 a na pozemcích  p.č. 281/1,  p.č. 290,  p.č. 291,  p.č. 296,  p.č. 316/1,  p.č.  316/2, p.č. 328, p.č. 333, p.č. 345 vedených ve zjednodušené evidenci, vše k.ú. Jíloviště), a zejména, aby zastupitelstvo obce Jíloviště neschválilo návrh nového územního plánu v podobě, jež umožní jakoukoliv výstavvbu na těchto nestavbních pozemcích v likalitě Na Močidlech",12.-13. 10. 2012,518,0.751,ANO,"287          (73,8 %)","91       (23,4 %)",ANO        (130),,ANO,True,True,True,True,130,2012,True,Jíloviště,Praha-západ,Střední čechy,"Jíloviště, Praha-západ, Střední čechy, Česká republika",True
148.0,"Mysločovice            (Zlín, ZLK)",Má zastupitelstvo obce Myslčovice vyslovit v územním a stavebním řízení souhlasné stanovisko k záměru výstavby bioplynové stanice v Myslčovicích?,2013-02-11 00:00:00,494,0.526,ANO,"24    (9,2%)","235 (90,4%)",ANO,,ANO,True,True,False,True,0,2013,True,Mysločovice,Zlín,Zlínský kraj,"Mysločovice, Zlín, Zlínský kraj, Česká republika",True
149.0,"Bukov                         (Žďár nad Sázavou, VYS)","Souhlasíte s tím, aby obec Bukov spolipracovala s Česko republikou - Správou úložišť radioaktivních odpadů (SÚRAO) v procesu výběru lokality pro umístění hlubinného úložiště radioaktivních odpadů?",11.-12.1.2013,149,0.879,ANO,"56       (42,7 %)","68       (51,9 %)",ANO         (38),,ANO,True,True,True,True,38,2013,True,Bukov,Žďár nad Sázavou,Kraj Vysočina,"Bukov, Žďár nad Sázavou, Kraj Vysočina, Česká republika",True
150.0,"Písek                       (Písek, JHČ)",Jste propřemístění plaveckého stadionu (akvaparku) v Písku ze stávající lokality pod historickými městskými hradbami na jiné místo a po dobu výstavny nového zachování provozu v plaveckém stadionu stávajícím? ,11.-12.1.2013,24175,0.445,ANO,9 471      (88 %),"1 042    (9,7 %)",ANO             (6 044),,ANO,True,True,False,True,0,2013,True,Písek,Písek,Jihočeský kraj,"Písek, Písek, Jihočeský kraj, Česká republika",True
151.0,"Březová - Oleško (Praha-západ, STČ)","Souhlasíte s tím, aby v rámci schvalování nového územního plánu vznikaly v navrhovaných lokalitách     (č. 1 až č. 5) nové zastavitelné plochy?",11.-12.1.2013,705,0.613,ANO,"154         (35,6 %)","251     (58,1 %)",ANO       (177),,ANO,True,True,True,True,177,2013,True,Březová - Oleško,Praha-západ,Střední čechy,"Březová - Oleško, Praha-západ, Střední čechy, Česká republika",True
152.0,"Plzeň                        (Plzeň, PLK)","Souhlasíte s tím, aby město Plzeň bezodkladně podniklo veškeré kroky v samostatné působnosti, aby nemohlo dojít k výstavbě obchodního zařízení na místě Domu kultury Inwest?",11. - 12. 1.  2013,132929,0.415,ANO,"35543 (64,4%)",18744 (34%),ANO   (33233),,ANO,True,True,True,True,33233,2013,True,Plzeň,Plzeň,Plzeňský kraj,"Plzeň, Plzeň, Plzeňský kraj, Česká republika",True
153.0,"Zábřeh              (Šumperk, OLK)","Souhlasíte s tím, aby město Zábřeh prodalo svoje pozemky za účelem vybudování energetického zdroje a papírny podle záměru firmy WANEMI CZ a.s.?",11.-12.1.2013,11533,0.596,ANO,"1 542 (22,4 %)","5 241 (76,2 %)",ANO             (2 884),,ANO,True,True,False,True,0,2013,True,Zábřeh,Šumperk,Olomoucký kraj,"Zábřeh, Šumperk, Olomoucký kraj, Česká republika",True
154.0,"Kobeřice                (Opava, MSK)",Má obec Kobeřice prodat rozestavěnou budovu na parc. č. 343/3 a pozemky parc. č. 343/2 a 343/3 v k.ú. Kobeřice ve Slezsku za účelem výstavby supermarketu za cenu minimálně 6 miliónů korun?,2013-01-12 00:00:00,2661,0.589,ANO,"615           (39,2 %)","925          (59,1 %)",ANO       (665),,ANO,True,True,True,True,665,2013,True,Kobeřice,Opava,Moravskoslezský kraj,"Kobeřice, Opava, Moravskoslezský kraj, Česká republika",True
155.0,"Nelahozeves (Mělník, STČ)",Souhlasíte s rozšířením skládky komunálního odpadu na katastrální území obce Nelahozeves?,2013-02-15 00:00:00,1376,0.5029,ANO,"465 (67,2%)","227 (32,8%)",ANO       (344),,ANO,True,True,True,True,344,2013,True,Nelahozeves,Mělník,Střední čechy,"Nelahozeves, Mělník, Střední čechy, Česká republika",True
156.0,"Hýsly                   (Hodonín, JHM)",Chci bioplynnovou elektrárnu v katastrálním území obce Hýsly?,2013-02-23 00:00:00,321,0.664,ANO,66               (31 %),"142         (66,7 %)",ANO         (81),,ANO,True,True,True,True,81,2013,True,Hýsly,Hodonín,Jihomoravský kraj,"Hýsly, Hodonín, Jihomoravský kraj, Česká republika",True
157.0,"Dolní Tošenovice (Frýdek - Místek, MSK) ",1. Souhlasíte se zachováním výuky v Základní škole Dolní Tošanovice?,2013-03-15 00:00:00,264,0.273,NE,"37 (51,4%)","33 (45,8%)",NE             (66),,NE,True,False,False,True,66,2013,True,Dolní Tošenovice,Frýdek - Místek,Moravskoslezský kraj,"Dolní Tošenovice, Frýdek - Místek, Moravskoslezský kraj, Česká republika",True
157.0,"Dolní Tošenovice (Frýdek - Místek, MSK) ",2. Souhlasíte se sloučením obcí Dolní Tošanovice a Horní Tošanovice?,2013-03-15 00:00:00,264,0.273,NE,"23 (31,9%)","46 (63,9%)",NE             (66),,NE,True,False,False,True,66,2013,True,Dolní Tošenovice,Frýdek - Místek,Moravskoslezský kraj,"Dolní Tošenovice, Frýdek - Místek, Moravskoslezský kraj, Česká republika",True
158.0,"Brušperk                 (Frýdek - Místek, MSK)","Jste pro, aby město Brušperk postavilo krytý plavecký bazén?",2013-03-16 00:00:00,3213,0.489,ANO,"963 (61,3%)","595 (37,9%)",ANO        (804),,ANO,True,True,True,True,804,2013,True,Brušperk,Frýdek - Místek,Moravskoslezský kraj,"Brušperk, Frýdek - Místek, Moravskoslezský kraj, Česká republika",True
159.0,"Semily                        (Semily, LBK)",Jste pro vybudování geotermální elektrárny s přidruženou výrobou tepla v katastrélním území města Semily?,2013-03-22 00:00:00,7068,0.289,NE,"364   (17,8%)","1 666 (81,6%)",NE         (1767),,NE,True,False,False,True,1767,2013,True,Semily,Semily,Liberecký kraj,"Semily, Semily, Liberecký kraj, Česká republika",True
160.0,"Jablonné nad Orlicí                  (Ústí nad Orlicí, PAK)","Souhlasítes tím, aby byl prodán pozemek pd stávajícím autobusovým nádraží, který je ve vlastnictví Města Jablonné nad Orlicí a na něm postavena provozovna firmy Penny Market s.r.o, Praha 6?",2013-03-22 00:00:00,2370,0.564,ANO,"618 (46,2%)","689 (51,5%)",ANO       (593),,ANO,True,True,True,True,593,2013,True,Jablonné nad Orlicí,Ústí nad Orlicí,Pardubický kraj,"Jablonné nad Orlicí, Ústí nad Orlicí, Pardubický kraj, Česká republika",True
161.0,"Vítkov                    (Opava, MSK)","1. Souhlasíte s tím, aby Město Vítkov převzalo od stávajícího zřizovatele Moravskoslezského kraje zřizovatelské funkce ke Gymnáziu, Vítkov, Komenského 145, p.o., a to ke dni 17.7.2013 a současně aby Gymnázium, Vítkov sloučilo se se Základní školou Vitkov, Komenského 754, okres Opava, p.o.?                                            ",2013-03-22 00:00:00,4927,0.226,NE,435   (39%),"643 (57,8%)",NE         (1232),,NE,True,False,False,True,1232,2013,True,Vítkov,Opava,Moravskoslezský kraj,"Vítkov, Opava, Moravskoslezský kraj, Česká republika",True
161.0,"Vítkov                    (Opava, MSK)","2. Souhlasíte s tím, aby Město Vítkov sloučilo své základní školy, Základní školu Vítkov, Opavská 22, okres Opava, p.o., a Základní školu Vítkov, Komenského 754, okres Opava, p.o. do jednoho subjektu?",2013-03-22 00:00:00,4927,0.226,NE,"344 (30,9%)","717 (64,4%)",NE         (1232),,NE,True,False,False,True,1232,2013,True,Vítkov,Opava,Moravskoslezský kraj,"Vítkov, Opava, Moravskoslezský kraj, Česká republika",True
162.0,"Pavlov                     (Kladno, STČ)","Požadujete, aby orgány obce Pavlov zachovaly v obecním parku petanquové hřiště?                 (vyhlášené na základě usnesení KS v Praze)",2013-03-23 00:00:00,102,0.274,NE,28         (100%),0,NE             (36),,NE,True,False,False,True,36,2013,True,Pavlov,Kladno,Střední čechy,"Pavlov, Kladno, Střední čechy, Česká republika",True
163.0,"Mníšek pod Brdy (Černošice, STČ)",1. Souhlasíte s přeměnou stávajícího překladiště komunálních odpadů v areálu UVR na mechanickou třídírnu a biologickou úpravnu těchto odpadů?,2013-05-17 00:00:00,3953,0.319,NE,162 (12.8%),1073 (85%),NE           (989),,NE,True,False,False,True,989,2013,True,Mníšek pod Brdy,Černošice,Střední čechy,"Mníšek pod Brdy, Černošice, Střední čechy, Česká republika",True
163.0,"Mníšek pod Brdy (Černošice, STČ)","2. Souhlasíte s tím, aby na území města Mníšek pod Brdy mohlo být realizováno zařízení, které umožní spalování odpadů?",2013-05-17 00:00:00,3953,0.319,NE,"27    (2,1%)","1201 (95,2%)",NE           (989),,NE,True,False,False,True,989,2013,True,Mníšek pod Brdy,Černošice,Střední čechy,"Mníšek pod Brdy, Černošice, Střední čechy, Česká republika",True
164.0,"Pardubice (Pardubice, PAR)",Souhlasíte s členěním statutárního města Pardubice na městské obvody?,2013-06-13 00:00:00,71313,0.209,NE,"8980 (60,2%)","5802 (38,9%)",NE       (17829),,NE,True,False,False,True,17829,2013,True,Pardubice,Pardubice,Pardubický kraj,"Pardubice, Pardubice, Pardubický kraj, Česká republika",True
165.0,"Oldříš                        (Polička, PAR)","Souhlasíte, aby v letech 2014-2015 byla vybudována v obci Oldřiši tlaková kanalizace z dotací Evropské unie a Státního fonu životního prostředí?",2013-09-06 00:00:00,517,0.582,ANO,"116 (38,5%)","185 (61,5%)",ANO        (130),,ANO,True,True,True,True,130,2013,True,Oldříš,Polička,Pardubický kraj,"Oldříš, Polička, Pardubický kraj, Česká republika",True
166.0,"Boskovice (Boskovice, JMK) ","Požadujete, aby orgány města Boskovice učinily v samostatné působnosti rozhodnutí k tomu, aby nebyla zahájena stavba sportovní haly na ulici Slovákova v Boskovicích?",2013-09-20 00:00:00,9362,0.223,NE,"1386 (66,4%)",669   (32%),NE        (2341),,NE,True,False,False,True,2341,2013,True,Boskovice,Boskovice,Jihomoravský kraj,"Boskovice, Boskovice, Jihomoravský kraj, Česká republika",True
167.0,"Kozmice              (Benešov, SDK)","Souhlasíte s tím, aby ve správním území obce Kozmice došlo k výstavbě objektu větrné elektrárny?",2013-09-21 00:00:00,226,0.434,ANO,"20        (20,4%)","77  (78,6%)",ANO          (57),,ANO,True,True,True,True,57,2013,True,Kozmice,Benešov,Střední čechy,"Kozmice, Benešov, Střední čechy, Česká republika",True
168.0,"Liberec                   (Liberec, LBK)","1. Chcete, aby Statutární město Liberec prodalo, zastavilo nebo pronajalo na déle než jeden rok soubor pozemků Letiště Liberec či jeho jednotlivé části uvedené v usnesení zastupitelstva města č. 246/2012?",2013-10-14 00:00:00,80501,0.169,NE,"459      (3,4%)","12986 (95,5%)",NE      (20126),,NE,True,False,False,True,20126,2013,True,Liberec,Liberec,Liberecký kraj,"Liberec, Liberec, Liberecký kraj, Česká republika",True
168.0,"Liberec                   (Liberec, LBK)","2. Chcete, aby orgány Statutárního města Liberce prodaly nebo zastavily obchodí podíl v městské společnosti Technické služby města Liberce, a. s. a v dalších společnostech s majetkovou účastí města?",2013-10-14 00:00:00,80501,0.169,NE,"323      (2,4%)","13109 (96,4%)",NE      (20126),,NE,True,False,False,True,20126,2013,True,Liberec,Liberec,Liberecký kraj,"Liberec, Liberec, Liberecký kraj, Česká republika",True
168.0,"Liberec                   (Liberec, LBK)","3. Chcete, aby orgány Statutárního města Liberce prodaly, zastavily nebo pornajaly na déle než jeden rok městské pozemky a nemovitosti uvedené v seznamech ""Pozemky vyřazené z privatizačního procesu"" a ""Nemovitosti vyřazené z privatizačního procesu"" dle stavu ke dni 1. 2. 2013, které byly schváleny zastupitelstvem města?",2013-10-14 00:00:00,80501,0.169,NE,"347       (2,5%)",13054 (96%),NE      (20126),,NE,True,False,False,True,20126,2013,True,Liberec,Liberec,Liberecký kraj,"Liberec, Liberec, Liberecký kraj, Česká republika",True
169.0,"Kopřivnice (Kopřivnice, MSK)","Souhlasíte s tím, aby se část obce - Lubina oddělením od města Kopřivnice stala samostatnou obcí?",2013-10-19 00:00:00,1349,0.604,ANO,"213 (26,1%)",579        (71%),NE            (337),,ANO,True,True,False,True,337,2013,True,Kopřivnice,Kopřivnice,Moravskoslezský kraj,"Kopřivnice, Kopřivnice, Moravskoslezský kraj, Česká republika",True
170.0,"Horní Újezd (Litomyšl, PAR)","Souhlasíte s tím, aby obec Horní Újezd přistoupila k přestavbě budovy bývalé základní školy čp. 164 v naší obci na bytový dům?",25. - 26. 10. 2013,326,0.666,ANO,"161 (74,2%)","43  (19,8%)",ANO          (82),,ANO,True,True,True,True,82,2013,True,Horní Újezd,Litomyšl,Pardubický kraj,"Horní Újezd, Litomyšl, Pardubický kraj, Česká republika",True
171.0,"Tlustice                (Hořovice, SDK)","Souhlasíte s výstavbou provozovny krematoria pro zvířata ze zájmového chovu na katastrálním území Tlustice, p. č. 353/4?",25. - 26. 10. 2013,731,0.709,ANO,"41    (7,9%)",456       (88%),ANO        (183),,ANO,True,True,True,True,183,2013,True,Tlustice,Hořovice,Střední čechy,"Tlustice, Hořovice, Střední čechy, Česká republika",True
172.0,"Teplá                  (Mariánské Lázně, KVK)","Souhlasíte s tím, aby bylo vybudováno a následně provozováno Centrum služeb sociální prevence v Teplé?",25. - 26. 10. 2013,2405,0.465,ANO,90               (8%),1006 (90%),ANO        (602),,ANO,True,True,True,True,602,2013,True,Teplá,Mariánské Lázně,Karlovarský kraj,"Teplá, Mariánské Lázně, Karlovarský kraj, Česká republika",True
