nr,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani,platnost_fin,platnost_T,referendum_validity,referendum_binding,voting_valid,binding_minimum_count,rok_fin,rok_T,obec_fin,okres_fin,kraj_fin,geo_city,lok_T
13.0,"Velká Bíteš            (Žďár nad Sázavou, VYS)","Souhlasíte s tím, aby Ředitelství silnic a dálnic ČR vybudovalo na území města Velká Bíteš přeložku silnice I/37 v úseku od nového mostu ev.č. 37-059 po dálniční křižovatku D1 - km 162?",2007-05-25 00:00:00,3925,0.542,ANO,"198       (9,3 %)","1905          (89,6 %)",ANO             (1 064),,ANO,True,True,False,True,0,2007,True,Velká Bíteš,Žďár nad Sázavou,Kraj Vysočina,"Velká Bíteš, Žďár nad Sázavou, Kraj Vysočina, Česká republika",True
14.0,"Volenice         (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Volenice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,304,0.592,ANO,"169      (93,9 %)","7            (3,9 %)",ANO         (91),,ANO,True,True,True,True,91,2007,True,Volenice,Příbram,Střední čechy,"Volenice, Příbram, Střední čechy, Česká republika",True
15.0,"Vranovice              (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Vranovice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,207,0.729,ANO,145        (96 %) ,"6             (3,8 %)",ANO         (76),,ANO,True,True,True,True,76,2007,True,Vranovice,Příbram,Střední čechy,"Vranovice, Příbram, Střední čechy, Česká republika",True
16.0,"Bezděkov pod Třemšínem              (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Bezděkov pod Třemšínem podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,124,0.742,ANO,"89    (96,7%)","1            (1,1 %)",ANO         (47),,ANO,True,True,True,True,47,2007,True,Bezděkov pod Třemšínem,Příbram,Střední čechy,"Bezděkov pod Třemšínem, Příbram, Střední čechy, Česká republika",True
17.0,"Rožmitál pod Třemšínem             (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Rožmitál pod Třemšínem podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,3636,0.472,NE,"1 620    (94,5 %)","83          (4,8 %)",NE,,NE,True,False,False,True,0,2007,True,Rožmitál pod Třemšínem,Příbram,Střední čechy,"Rožmitál pod Třemšínem, Příbram, Střední čechy, Česká republika",True
18.0," Zaječov              (Beroun, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Zaječov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,1125,0.658,ANO,"728     (98,4 %)","10          (1,4 %)",ANO        (371),,ANO,True,True,True,True,371,2007,True,Zaječov,Beroun,Střední čechy,"Zaječov, Beroun, Střední čechy, Česká republika",True
19.0,"Vševily                (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Vševily podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států Amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,92,0.837,ANO,"71       (92,2 %)","6            (7,8 %)",ANO         (39),,ANO,True,True,True,True,39,2007,True,Vševily,Příbram,Střední čechy,"Vševily, Příbram, Střední čechy, Česká republika",True
20.0,"Věšín                    (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Věšín podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,537,0.74,ANO,"387      (97,5 %)","8            (2,1 %)",ANO       (199),,ANO,True,True,True,True,199,2007,True,Věšín,Příbram,Střední čechy,"Věšín, Příbram, Střední čechy, Česká republika",True
21.0,"Hvožďany            (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Hvožďany podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-02 00:00:00,630,0.65,ANO,"381      (93,2 %)","20        (22,8 %)",ANO       (205),,ANO,True,True,True,True,205,2007,True,Hvožďany,Příbram,Střední čechy,"Hvožďany, Příbram, Střední čechy, Česká republika",True
22.0,"Sedlice                   (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Sedlice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,182,0.643,ANO,"113      (96,6 %)","4            (3,4 %)",ANO         (59),,ANO,True,True,True,True,59,2007,True,Sedlice,Příbram,Střední čechy,"Sedlice, Příbram, Střední čechy, Česká republika",True
23.0,"Těně                    (Rokycany, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Těně podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-02 00:00:00,199,0.714,ANO,"139     (97,9 %)","3            (2,1 %)",ANO         (72),,ANO,True,True,True,True,72,2007,True,Těně,Rokycany,Plzeňský kraj,"Těně, Rokycany, Plzeňský kraj, Česká republika",True
24.0,"Místo               (Chomutov, ULK)","Souhlasíte s výstavbou větrných elektráren v katastru obce Místo, Vysoká Jedle a Blahuňov?",2007-06-22 00:00:00,337,0.608,ANO,"34        (16,6 %)","170             (82,9 %)",ANO       (103),,ANO,True,True,True,True,103,2007,True,Místo,Chomutov,Ústecký kraj,"Místo, Chomutov, Ústecký kraj, Česká republika",True
25.0,"Hojkov                (Jihlava, VYS","Požadujete, aby orgány obce Hojkov využily všech zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-04-28 00:00:00,131,0.924,ANO,"119     (98,4 %)",0,ANO         (61),,ANO,True,True,True,True,61,2007,True,Hojkov,Jihlava,Kraj Vysočina,"Hojkov, Jihlava, Kraj Vysočina, Česká republika",True
26.0,"Staré Buky            (Trutnov, HKK)","Jsem pro odkoupení pozemků a objektů včetně zámku pro další rozvoj obce. K získání prostředků na jejich odkoupení, jsem pro prodej Obecní hospody a tělocvičny.",2007-06-29 00:00:00,368,0.617,ANO,"123      (54,2 %)","98       (43,2 %)",ANO       (114),,ANO,True,True,True,True,114,2007,True,Staré Buky,Trutnov,Královéhradecký kraj,"Staré Buky, Trutnov, Královéhradecký kraj, Česká republika",True
27.0,"Hůrky              (Rokycany, PLK)","Souhlasíte s tím, aby obecní zastupitelstvo Obce Hůrky podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států Amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,175,0.657,ANO,"112     (97,4 %)","3            (2,6 %)",ANO         (58),,ANO,True,True,True,True,58,2007,True,Hůrky,Rokycany,Plzeňský kraj,"Hůrky, Rokycany, Plzeňský kraj, Česká republika",True
28.0,"Mirošov             (Rokycany, PLK","Souhlasíte s tím, aby zastupitelstvo města Mirošov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-23 00:00:00,1786,0.515,ANO,"867     (97,5 %)","30          (3,3 %)",ANO       (461),,ANO,True,True,True,True,461,2007,True,Mirošov,Rokycany,Plzeňský kraj,"Mirošov, Rokycany, Plzeňský kraj, Česká republika",True
