poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
13.0,"Velká Bíteš            (Žďár nad Sázavou, VYS)","Souhlasíte s tím, aby Ředitelství silnic a dálnic ČR vybudovalo na území města Velká Bíteš přeložku silnice I/37 v úseku od nového mostu ev.č. 37-059 po dálniční křižovatku D1 - km 162?",2007-05-25 00:00:00,3925,0.542,ANO,"198       (9,3 %)","1905          (89,6 %)",ANO             (1 064),
14.0,"Volenice         (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Volenice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,304,0.592,ANO,"169      (93,9 %)","7            (3,9 %)",ANO         (91),
15.0,"Vranovice              (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Vranovice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,207,0.729,ANO,145        (96 %) ,"6             (3,8 %)",ANO         (76),
16.0,"Bezděkov pod Třemšínem              (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Bezděkov pod Třemšínem podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,124,0.742,ANO,"89    (96,7%)","1            (1,1 %)",ANO         (47),
17.0,"Rožmitál pod Třemšínem             (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Rožmitál pod Třemšínem podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,3636,0.472,NE,"1 620    (94,5 %)","83          (4,8 %)",NE,
18.0," Zaječov              (Beroun, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Zaječov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,1125,0.658,ANO,"728     (98,4 %)","10          (1,4 %)",ANO        (371),
19.0,"Vševily                (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Vševily podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států Amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,92,0.837,ANO,"71       (92,2 %)","6            (7,8 %)",ANO         (39),
20.0,"Věšín                    (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Věšín podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,537,0.74,ANO,"387      (97,5 %)","8            (2,1 %)",ANO       (199),
21.0,"Hvožďany            (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Hvožďany podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-02 00:00:00,630,0.65,ANO,"381      (93,2 %)","20        (22,8 %)",ANO       (205),
22.0,"Sedlice                   (Příbram, STČ)","Souhlasíte s tím, aby zastupitelstvo obce Sedlice podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,182,0.643,ANO,"113      (96,6 %)","4            (3,4 %)",ANO         (59),
23.0,"Těně                    (Rokycany, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Těně podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-02 00:00:00,199,0.714,ANO,"139     (97,9 %)","3            (2,1 %)",ANO         (72),
24.0,"Místo               (Chomutov, ULK)","Souhlasíte s výstavbou větrných elektráren v katastru obce Místo, Vysoká Jedle a Blahuňov?",2007-06-22 00:00:00,337,0.608,ANO,"34        (16,6 %)","170             (82,9 %)",ANO       (103),
25.0,"Hojkov                (Jihlava, VYS","Požadujete, aby orgány obce Hojkov využily všech zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-04-28 00:00:00,131,0.924,ANO,"119     (98,4 %)",0,ANO         (61),
26.0,"Staré Buky            (Trutnov, HKK)","Jsem pro odkoupení pozemků a objektů včetně zámku pro další rozvoj obce. K získání prostředků na jejich odkoupení, jsem pro prodej Obecní hospody a tělocvičny.",2007-06-29 00:00:00,368,0.617,ANO,"123      (54,2 %)","98       (43,2 %)",ANO       (114),
27.0,"Hůrky              (Rokycany, PLK)","Souhlasíte s tím, aby obecní zastupitelstvo Obce Hůrky podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států Amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,175,0.657,ANO,"112     (97,4 %)","3            (2,6 %)",ANO         (58),
28.0,"Mirošov             (Rokycany, PLK","Souhlasíte s tím, aby zastupitelstvo města Mirošov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-23 00:00:00,1786,0.515,ANO,"867     (97,5 %)","30          (3,3 %)",ANO       (461),
29.0,"Láz                          (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Láz podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-07-28 00:00:00,456,0.603,ANO,"254     (94,5 %)","6            (2,2 %)",ANO       (138),
30.0,"Štítov                 (Rokycany, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Štítov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,44,0.864,ANO,"33       (86,8 %)","5          (13,2 %)",ANO         (20),
31.0,"Veselá               (Rokycany, PLK)","Má obec Veselá při výkonu své samostatné působnosti využít všech zákonných prostředků, aby zabránila výstavbě radarové základny Spojených států amerických na území Vojenského výcvikového prostoru Brdy?",2007-06-30 00:00:00,169,0.538,ANO,"90       (98,9 %)","1            (1,1 %)",ANO         (46),
32.0,"Lichkov                          (Ústí nad Orlicí, PAK)","Souhlasíte se stavbou větrné elektrárny na ""Hraničním kopci"" v k.ú. Lichkov?",2007-09-08 00:00:00,411,0.5669,ANO,"213     (91,8 %)","19          (8,2 %)",ANO       (117),
33.0,"Bohutín                   (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Bohutín podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-09-01 00:00:00,1289,0.378,NE,458        (94 %),"28          (5,7 %)",NE,
34.0,"Omice                            (Brno-venkov, JHM)","Souhlasíte s tím, aby zastupitelstvo obce Omice při vydávání územního plánu podniklo v samostatné působnosti kroky ke schválení lokality Z.7, Z.22 a Z.25 pro výstavbu rodinných domů?",2007-10-20 00:00:00,580,0.56,ANO,"62        (19,1 %)","253     (77,9 %)",ANO       (163),
35.0,"Vnorovy                     (Hodonín, JHM)","1. Souhlasím, aby v katastru obce Vnorovy byla vybudována na pozemcích ve vlastnictví Obce Vnorovy fotovoltaická elektrárna na ploše do 65 ha.                                                                                        2. Souhlasím s prodejem pozemků ve vlastnictví Obce Vnorovy za účelem výstavby fotovoltaické elektrárny.",2007-11-24 00:00:00,2457,0.353,NE,"ad) 1 260    ad 2) 76 (30 %;    8,8 %)","ad 1) 574    ad 2) 750 (66,2 %; 86,5 %)",NE,
36.0,"Nový Rychnov (Pelhřimov, VYS)","Požadujete, aby orgány Obce Nový Rychnov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-09-29 00:00:00,809,0.472,NE,"362     (94,8 %)","20          (5,2 %)",NE,
37.0,"Horní Blatná (Karlovy Vary, KVK)","Souhlasíte s tím, aby zastupitelstvo Horní Blatné podpořilo výstavbu silničního obchvatu Horní Blatné?",2007-11-03 00:00:00,305,0.446,NE,"98       (72,1 %)","36         (26,5 %)",NE,
38.0,"Koleč                          (Kladno, STČ)",Souhlasíte s výstavbou větrných elektráren na katastrálním území obce Koleč?,2007-10-29 00:00:00,471,0.306,NE,"59       (40,8 %)","81       (56,3 %)",NE,
39.0,"Ochoz u Brna                  (Brno-venkov, JHM)","1. Souhlasíte s tím, aby zastupitestvo obce Ochoz u Brna učinilo v samostatné působnosti veškeré kroky k neschválení nového v současnosti připravovaného návrhu územního plánu.                   2. Souhlasíte, aby se současné okolí místního hřbitova (40 m od hřbitovní zdi) stalo pietní zónou a v novém územním plánu tedy nezastavitelným územím?",2007-11-12 00:00:00,951,0.354,NE,"ad 1) 287      ad 2) 261 (86,7 %; 78,9 %)","ad 1) 42             ad 2) 70 (12,7 %; 21,1 %)",NE,
40.0,"Opatov                        (Jihlava, VYS)","Požadujete, aby orgány obce Opatov využily všech svých rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-11-10 00:00:00,160,0.675,ANO,"103     (95,4 %)","3            (2,8 %)",ANO         (55),
41.0," Líšťany                        (Louny, ULK)",Souhlasíte s výstavbou větrných elektráren v severozápadním okraji katastrálního území Líšťany?,2007-11-30 00:00:00,375,0.443,NE,"100      (60,2 %)","66       (39,8 %)",NE,
42.0,"Strašice               (Rokycany, PLK)","Má obec Strašice při výkonu své samostatné působnosti podniknout veškerá zákonná opatření k tomu, aby zamezila výstavbě radarové stanice Spojených států amerických na území vojenského výcvikového prostoru Brdy?",2007-11-10 00:00:00,1910,0.367,NE,"646     (93,2 %)","36          (5,2 %)",NE,
43.0,"Dušejov                    (Jihlava, VYS)","Požadujete, aby orgány obce Dušejov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-11-24 00:00:00,329,0.653,ANO,"206     (95,8 %)","8            (3,7 %)",ANO        (108),
44.0,"Zábřeh                  (Šumperk, OLK)",NEREALIZOVÁNO V ZÁKONEM STANOVENÉ LHŮTĚ,neoznámeno,,,,,,,
45.0,"Hubenov                  (Jihlava, VYS)","Požadujete, aby orgány obce Hubenov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-15 00:00:00,115,0.826,ANO,"94       (98,9 %)","1            (1,1 %)",ANO          (48),
46.0,"Milíčov                       (Jihlava, VYS)","Požadujete, aby orgány obce Milíčov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-08 00:00:00,103,0.864,ANO,"85       (95,5 %)","1            (1,1 %)",ANO         (45),
47.0,"Dvorce                       (Jihlava, VYS)","Požadujete, aby orgány obce Dvorce využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-12-15 00:00:00,150,0.733,ANO,"105      (95,5 %)","5             (4,5 %)",ANO         (61),
48.0," Letohrad                      (Ústí nad Orlicí, PAK)",Jste pro osamostatnění městské části Kunčice s územím vymezeným k. ú. Kunčice u Letohradu?,2008-02-16 00:00:00,793,0.651,ANO,"262        (50,7%)","241     (46,6 %)",NEPŘIJATO3 (397),
49.0,"Želešice                    (Brno-venkov, JHM","Má obec Želešice prodávat, pronajímat či jinak nakládat se svými pozemky nacházejícími se v okolí současného kamenolomu v k.ú. Želešice, před tím, než bude vybudován a zprovozněn plánovaný silniční obchvat obce Želešice?",2008-02-02 00:00:00,1118,0.402,NE,"87       (19,5 %)",350        (78 %),NE,
50.0,"Sudoměřice (Hodonín, JHM)","Souhlasíte s tím, aby orgány obce učinily při výkonu samostatné působnosti zákonné kroky vedoucí k rozšíření stávajícího rozsahu obousměrné dopravy na komunikaci č. I/70, tj. na historické cestě vedoucí přes zastavěné území obce Sudoměřice do města Skalica, o osobní  automobily do hmotnosti 3,5 tuny?",2008-03-16 00:00:00,999,0.526,ANO,"349      (66,5 %)","174     (33,1 %)",ANO       (263),
51.0,"Rokytnice                        (Zlín, ZLK)","Souhlasíte s tím, aby zastupitelstvo obce Rokytnice pokračovalo v soudním sporu finančního vypořádání mezi městem Slavičín a obcí Rokytnice?",2008-06-07 00:00:00,483,0.4,NE,"88       (45,6 %)","102      (52,8 %)",NE,
52.0,"Horní Habartice (Děčín, ULK)",1.Souhlasíte s výstavbou věže místního kostela sv. Jana Křtitele?                                                                                                                     2. Souhlasíte s prodejem části p.p.č. 326/37 a p.p.č. 326/38 (využití sportoviště) na výstavbu nástupní plochy před kostelem dle nákresu projektanta?,2008-05-24 00:00:00,327,0.697,ANO,"ad 1) 103    ad 2) 97 (45,2 %; 42,5 %)","ad 1) 113    ad 2) 113 (49,6 %; 49,6 %)",NE,
53.0,"Cejle                         (Jihlava, VYS)","Požadujete, aby orgány obce Cejle využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2008-03-22 00:00:00,347,0.726,ANO,"200     (79,4 %)","38       (15,1 %)",ANO       (127),
54.0,"Zlín                    (Zlín, ZLK)","Souhlasíte s osamostatněním, tedy oddělením, místní části Želechovice nad Dřevnicí od statutárního města Zlína a vznikem samostatné obce Želechovice nad Dřevnicí?",2008-05-17 00:00:00,1624,0.833,ANO,"1 259 (93,1 %)","83          (6,1 %)",ANO       (813),
55.0,"Studenec                  (Třebíč, VYS)","Požadujete, aby z pomníku padlých na návsi byl odstraněn reliéf J.V.Stalina?",2008-05-01 00:00:00,447,0.508,ANO,50 (22 %),"154      (67,8 %)",ANO       (114),
56.0,"Bystročice (Olomouc, OLK)","Souhlasíte s tím, aby obec Bystročice všemi dostupnými právními prostředky zabránila realizaci logistického centra, příjezdové komunikace, případně jiných skladovacích hal či průmyslových objektů, na všech pozemcích mezi částí Žerůvky, biocentrem a rychlostní komunikací R46?                                  NÁVRH NA KONÁNÍ MÍSTNHO REFERENDA NESCHVÁLEN",neoznámeno,,,,,,,
57.0,"Sobotín                  (Šumperk, OLK)",Souhlasíte se vznikem nové obce Petrov nad Desnou oddělením od současné obce Sobotín?,2008-09-06 00:00:00,958,0.628,ANO,"505      (83,9 %)",78           (13 %),ANO       (480),
58.0,"Bousín               (Prostějov, OLK)",Souhlasíte s výstavbou větrných elektráren na k.ú. Bousín a Repechy?,2008-07-19 00:00:00,111,0.766,ANO,"25        (29,4 %)","59        (69,4 %)",ANO         (28),
59.0,"Milevsko                   (Písek, JHČ)",Souhlasíte s vyhlášením záměru na prodej plochy autobusového nádraží v Milevsku k výstavbě obchodního centra?,17. -18.10.2008,7539,0.497,ANO,"1 069    (28,5 %)","2 495    (66,6 %)",ANO      (1885),
60.0,"Nové Heřminovy (Bruntál, MSK)","Souhlasíte s tím, aby obec Nové Heřminovy aktivně využila všech zákonných prostředků a dalších legitimních nástrojů, aby zabránila bourání budov na území obce v souvislosti s plánovaným záměrem přehrady v obci Nové  Heřminovy, zejména aby ve všech správních či soudních řízeních souvisejících s povolováním přehrady v obci Nové Heřminovy vystupovala vždy proti realizaci záměru přehrady?",2008-08-30 00:00:00,220,0.35,ANO,"55       (71,4 %)","21       (27,3 %)",ANO         (39),
61.0,"Dolní Břežany (Praha-západ, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce schválilo pouze takové návrhy územního plánu, podle kterých nebude dále rozšiřováno zastavitelné území obce a aby další výstavba v zastavitelném území obce byla rozložena do etap, a to postupně až do r. 2040?",17. -18.10.2008,1935,0.423,ANO,"781     (85,4 %)","117      (12,8 %)",ANO       (458),
62.0,"Struhařov                (Praha-východ, STČ)","Má obec Struhařov navrhnout a prosazovat změnu územního plánu pro pozemky č.PK 94, PK 90/1, PK 89, PK 85/4, PK 80, PK 83, PK 131, PK 132, PK 133, PK 120/1, PK 120/2, PK 732, KN 87, KN 85/2, KN 63/2, KN 63/1, KN 63/14, KN 134/4 a KN 734/2 v lokalitě Pod Hliněným Rybníkem I a II. pro budoucí využití ze zastavitelného území na území nezastavitelné?",2008-10-11 00:00:00,504,0.21,NE,"61       (57,5 %)","42       (39,6 %)",NE                 (126),
63.0,"Modlíkov           (Havlíčkův Brod, VYS)",Souhlasíte s umístěním větrných elektráren v katastrálním území Modlíkov?,17. -18.10.2008,131,0.863,ANO,"59       (52,2 %)",52           (46 %),ANO         (33),
64.0,"Libčeves                   (Louny, ULK)","Souhlasíte s tím, aby v obci Všechlapy, v objektu č.p. 1 (bývalý kravín) byla vybudována bioplynová stanice?",2008-11-29 00:00:00,729,0.324,NE,"35       (14,8 %)","201      (85,2 %)",NE                (183),
65.0,"Dýšina                (Plzeň-město, PLK)","1. Souhlasíte s výstavbou Celního a daňového skladu pohonných hmot v katastrálním území obce Dýšina?                                                                                                                      2. Má obec Dýšina při výkonu své samostatné působnosti využít všech zákonných prostředků, aby zabránila výstavbě skladu pohonných hmot na území obce?",2009-01-15 00:00:00,1302,0.507,ANO,"ad 1) 16        ad 2) 612 (2,4 %; 92,7 %)","ad 1) 627     ad 2) 31 (95 %;   4,7 %)",ad 1) NE     ad 2) ANO  (326),
66.0,"Stříbro                       (Tachov, PLK)",Souhlasíte s výstavbou větrných elektráren na území obce Stříbro?,2009-01-09 00:00:00,6264,0.231,NE,"223     (15,7 %)","1 199    (84,3 %)",NE         (1566),
67.0,"Havlíčkova Borová (Havlíčkův Brod, VYS)",Souhlasíte s umístěním větrných elektráren v katastrálním území Havlíčkova Borová?,2009-02-21 00:00:00,761,0.6,ANO,"42          (9,2 %)","391     (85,7 %)",ANO       (190),
68.0,"Tlumačov                        (Zlín, ZLK)","Souhlasíte s tím, aby obec Tlumačov z rozpočtu obce těm vlastníkům pozemků dotčených plánovanou stavbou protipovodňových hrází v katastrálním území Tlumačov na Moravě, jajímž investorem má být  Povodí Moravy, s. p., kteří na rozdíl od většiny ostatních vlastníků odmítli v budoucnu prodat dotčené pozemky ve výměře nezbytného trvalého záboru za standardních podmínek, vycházejících z platných oceňovacích předpisů v době podpisu kupní smlouvy, minimálně však za částku 82, 78 Kč/m², zaplatila vyšší kupní cenu za 1 m² dotčených pozemků ve výměře nezbytného trvalého záboru, případně i ve výměře přesahující výměru nezbytného travalého záboru?",2009-03-06 00:00:00,1981,0.274,NE,"335     (61,8 %)","207     (38,2 %)",NE           (496),
69.0,"Niva                    (Prostějov, OLK)",Souhlásíte s výstavbou větrných elektráren v katastrálním území obce Niva?,2009-03-21 00:00:00,271,0.664,ANO,"29       (16,1 %)","146     (81,1 %)",ANO         (68),
70.0,"Prosetín               (Chrudim, PAK)","Souhlasím s rozšířením těžby kamene pro výrobu drceného kameniva v dobývacím prostoru Prosetín I. v rozsahu navrženém firmou Taberg Praha, s. r. o.",5. - 6. 10 2009,646,0.664,ANO,"9       (2,1%)","414      (96,5 %)",ANO       (162),
71.0,"Liboš                      (Olomouc, OLK)","Souhlasíte se zřízením pískoven na území obce Liboš, tj. na katastrálním území Liboš a Krnov a změnou územního plánu umožňujících zřízení a provoz pískoven na území obce Liboš?",2009-06-20 00:00:00,481,0.593,ANO,"21          (7,4 %) ","263      (92,3 %)",ANO       (121),
72.0,"Květnice                    (Praha-východ, STČ)","1. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno neprodlěně učinit veškeré kroky v samostatné působnosti, které by zabránily výstavbě více než dvoupodlažních budov v centru obce na místě stávajících hospodářských budov, zejména realizaci záměru ""Rezidence Flores"", o němž je vedeno řízení EIA pod č.j. 142294/2008/KUSKOŽP/Ja?                                                     2. Souhlasíte s tím, aby zastupitelstvo obce Květnice bylo povinno neprodleně učinit všechny kroky v samostatné působnosti, které jsou potřebné ke schválení změny územního plánu obce Květnice obsahující níže uvedené podmínky?              3. Souhlasíte s tím, aby bylo zastupitelstvo obce Květnice povinno neprodlěně učinit veškeré kroky v samostatné působnosti potřebné k tomu, aby nebyl realizován projekt ""Zahrady Květnice"" na pozemcích parc. č. 550/28 a 550/26 v katastrálním území Květnice dříve, než bude dokončena příslušná infrastruktura (dostatečná kapacita ČOV, posílení vodovodní sítě vč. vodojemu, vyřešení dopravních obslužných tras)?",2009-06-28 00:00:00,686,0.434,ANO,"ad 1) 292     ad 2) 287    ad 3) 295 (98 %; 96,3 %; 99 %)","Ad 1) 4      Ad 2) 8   Ad 3) 3 (1,3 %;       2,7 %; 1 %)",ad 1) ANO ad 2) ANO ad 3) ANO (172),
73.0,"Černá Hora (Blansko, JHM)","Jste pro vystoupení městyse Černá Hora ze Svazku vodovodů a kanalizací měst a obcí se sídlem v Boskovicích, 17. listopadu 14, i za předpokladu nutnosti vrácení dlužné částky ve výši nejméně 7 mil. Kč Svazku a předpokladu, že cena vodného a stočného v městysu Černá Hora může být po započítání vypořádání se Svazkem a uplatnění odpisů vodohospodářského majetku městyse vyšší, než je cenma současná?",2009-07-03 00:00:00,1561,0.181,NE,265        (94 %),"15          (5,3 %)",NE           (391),
74.0,"Rohozná u Jihlavy                  (Jihlava, VYS)","1. Souhlasíte s tím, aby bylo v katastrálním území obce Rohozná u Jihlavy vybudováno hlubinné úložiště vysoceradioaktivních odpadů a vyhořelého jaderného paliva.                                             2. Souhlasím, aby na našem katastrálním území  byl proveden v rámci hlubinného úložiště geologický průzkum.",2009-08-15 00:00:00,312,0.75,ANO,"ad 1) 6           ad 2) 13 (2,6 %; 5,6 %)","ad 1) 226    ad 2) 218 (96,6 %; 93,2 %)",ad 1) ANO ad 2) ANO (78),
75.0,"Chotíkov                      (Plzeň-sever, PLK)",Souhlasíte s výstavbou zařízení na termické zpracování komunálního odpadu v katastrálním území obce Chotíkov?,2009-09-04 00:00:00,788,0.766,ANO,"312     (51,7 %)","291     (48,2 %)",ANO       (197),
76.0,"Zlín                    (Zlín, ZLK)","Souhlasíte s osamostatněním, tedy oddělením, místní části Kostelec od statutárního města Zlína a vznikem samostatné obce Kostelec u Zlína?",2009-09-11 00:00:00,1534,0.608,ANO,"231     (24,8 %)","677     (72,6 %)",NEPŘIJATO3 (768)        ,
77.0,"Lišnice                        (Most, ULK)",Má zastupitelstvo obce umožnit změnou územního plánu výstavbu skladovacího areálu obilovin na parcele 303/1 v katastrálním území obce Lišnice?,2009-09-12 00:00:00,173,0.665,ANO,"63       (54,8 %)","45       (39,1 %)",ANO         (44),
